Name,Sex,Birthplace,Birthplace_UF,Year,City,Sport,Event,Medal
Nelson Prudêncio,M,Lins,São Paulo,1972,Munich,Athletics,Athletics Men's Triple Jump,Bronze
Ketleyn Lima Quadros,F,Ceilândia,Distrito Federal,2008,Beijing,Judo,Judo Women's Lightweight,Bronze
Isaquias Queiroz dos Santos,M,Ubaitaba,Bahia,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, 200 metres",Bronze
Isaquias Queiroz dos Santos,M,Ubaitaba,Bahia,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
Isaquias Queiroz dos Santos,M,Ubaitaba,Bahia,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
Rafael Pereira da Silva,M,Petrópolis,Rio de Janeiro,2012,London,Football,Football Men's Football,Silver
"Márcio Rafael ""Rafinha"" Ferreira de Souza",M,Londrina,Paraná,2008,Beijing,Football,Football Men's Football,Bronze
Rafael Alcântara do Nascimento,M,São Paulo,São Paulo,2016,Rio de Janeiro,Football,Football Men's Football,Gold
Ramires Santos do Nascimento,M,Barra do Piraí,Rio de Janeiro,2008,Beijing,Football,Football Men's Football,Bronze
Raquel Peluci Xavier Camargo da Silva,F,Rio de Janeiro,Rio de Janeiro,2000,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
Renan dal Zotto,M,São Leopoldo,Rio Grande do Sul,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
Renan Brito Soares,M,Viamão,Rio Grande do Sul,2008,Beijing,Football,Football Men's Football,Bronze
Renato Soares de Oliveira Augusto,M,Rio de Janeiro,Rio de Janeiro,2016,Rio de Janeiro,Football,Football Men's Football,Gold
Edson Luciano Ribeiro,M,Bandeirantes,Paraná,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Edson Luciano Ribeiro,M,Bandeirantes,Paraná,2000,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Ricarda Raquel Barbosa Lima,F,Taguatinga,Distrito Federal,2000,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
"Ricardo ""Ricardinho"" Bermudez Garcia",M,São Paulo,São Paulo,2004,Athina,Volleyball,Volleyball Men's Volleyball,Gold
"Ricardo ""Ricardinho"" Bermudez Garcia",M,São Paulo,São Paulo,2012,London,Volleyball,Volleyball Men's Volleyball,Silver
Rivaldo Victor Borba Ferreira,M,Paulista,Pernambuco,1996,Atlanta,Football,Football Men's Football,Bronze
Roberto Carlos da Silva,M,Garça,São Paulo,1996,Atlanta,Football,Football Men's Football,Bronze
"Rodrigo ""Rodrigão"" Santana",M,São Paulo,São Paulo,2004,Athina,Volleyball,Volleyball Men's Volleyball,Gold
"Rodrigo ""Rodrigão"" Santana",M,São Paulo,São Paulo,2008,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
"Rodrigo ""Rodrigão"" Santana",M,São Paulo,São Paulo,2012,London,Volleyball,Volleyball Men's Volleyball,Silver
Rodrigo Caio Coquette Russo,M,Dracena,São Paulo,2016,Rio de Janeiro,Football,Football Men's Football,Gold
Rodrigo Dourado Cunha,M,Pelotas,Rio Grande do Sul,2016,Rio de Janeiro,Football,Football Men's Football,Gold
Romário de Souza Faria,M,Rio de Janeiro,Rio de Janeiro,1988,Seoul,Football,Football Men's Football,Silver
Rômulo Borges Monteiro,M,Picos,Piauí,2012,London,Football,Football Men's Football,Silver
"Ronaldo Luiz Nazário ""Ronaldinho"" de Lima",M,Rio de Janeiro,Rio de Janeiro,1996,Atlanta,Football,Football Men's Football,Bronze
"Ronaldo ""Ronaldinho"" de Assis Moreira",M,Porto Alegre,Rio Grande do Sul,2008,Beijing,Football,Football Men's Football,Bronze
Ronaldo Moraes Silva,M,São Paulo,São Paulo,1984,Los Angeles,Football,Football Men's Football,Silver
Andréia Rosa de Andrade,F,São Pedro do Turvo,São Paulo,2008,Beijing,Football,Football Women's Football,Silver
"Carmo ""Rosa Branca"" de Souza",M,Araraquara,São Paulo,1960,Roma,Basketball,Basketball Men's Basketball,Bronze
"Carmo ""Rosa Branca"" de Souza",M,Araraquara,São Paulo,1964,Tokyo,Basketball,Basketball Men's Basketball,Bronze
Rosana dos Santos Augusto,F,São Paulo,São Paulo,2004,Athina,Football,Football Women's Football,Silver
Rosana dos Santos Augusto,F,São Paulo,São Paulo,2008,Beijing,Football,Football Women's Football,Silver
Roseli do Carmo Gustavo,F,Araraquara,São Paulo,1996,Atlanta,Basketball,Basketball Women's Basketball,Silver
Roseli de Belo,F,São Paulo,São Paulo,2004,Athina,Football,Football Women's Football,Silver
Rui Campos Nascimento,M,Rio de Janeiro,Rio de Janeiro,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
Lucas Saatkamp,M,Colinas,Rio Grande do Sul,2012,London,Volleyball,Volleyball Men's Volleyball,Silver
Lucas Saatkamp,M,Colinas,Rio Grande do Sul,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
Samuel Fuchs,M,Curitiba,Paraná,2008,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
Sandra Maria Suruagy Lima,F,Maceió,Alagoas,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
Sandro Ranieri Guimarães Cordeiro,M,Riachinho,Minas Gerais,2012,London,Football,Football Men's Football,Silver
Paulo dos Santos,M,Porto Alegre,Rio Grande do Sul,1984,Los Angeles,Football,Football Men's Football,Silver
"Wélissa ""Sassá"" de Souza Gonzaga",F,Barbacena,Minas Gerais,2008,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
Sávio Bortolini Pimentel,M,Vila Velha,Espírito Santo,1996,Atlanta,Football,Football Men's Football,Bronze
Robert Scheidt,M,São Paulo,São Paulo,1996,Atlanta,Sailing,Sailing Mixed One Person Dinghy,Gold
Robert Scheidt,M,São Paulo,São Paulo,2000,Sydney,Sailing,Sailing Mixed One Person Dinghy,Silver
Robert Scheidt,M,São Paulo,São Paulo,2004,Athina,Sailing,Sailing Mixed One Person Dinghy,Gold
Robert Scheidt,M,São Paulo,São Paulo,2008,Beijing,Sailing,Sailing Men's Two Person Keelboat,Silver
Robert Scheidt,M,São Paulo,São Paulo,2012,London,Sailing,Sailing Men's Two Person Keelboat,Bronze
"Fernando ""Xuxa"" de Queiroz Scherer",M,Florianópolis,Santa Catarina,1996,Atlanta,Swimming,Swimming Men's 50 metres Freestyle,Bronze
"Fernando ""Xuxa"" de Queiroz Scherer",M,Florianópolis,Santa Catarina,2000,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Ronaldo Camargo Ribeiro Senfft,M,Rio de Janeiro,Rio de Janeiro,1984,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,Silver
"Sérgio ""Sérgio Macarrão"" Toledo Machado",M,Rio de Janeiro,Rio de Janeiro,1964,Tokyo,Basketball,Basketball Men's Basketball,Bronze
Sheilla Tavares de Castro Blassioli,F,Belo Horizonte,Minas Gerais,2008,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
Sheilla Tavares de Castro Blassioli,F,Belo Horizonte,Minas Gerais,2012,London,Volleyball,Volleyball Women's Volleyball,Gold
"Sidnei ""Sidão"" dos Santos Junior",M,São Caetano do Sul,São Paulo,2012,London,Volleyball,Volleyball Men's Volleyball,Silver
Alex Sandro da Silva,M,Amparo,São Paulo,2008,Beijing,Football,Football Men's Football,Bronze
Erlon de Souza Silva,M,Ubatã,Bahia,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
Rafaela Lopes Silva,F,Rio de Janeiro,Rio de Janeiro,2016,Rio de Janeiro,Judo,Judo Women's Lightweight,Gold
Thiago Emiliano da Silva,M,Rio de Janeiro,Rio de Janeiro,2008,Beijing,Football,Football Men's Football,Bronze
Thiago Emiliano da Silva,M,Rio de Janeiro,Rio de Janeiro,2012,London,Football,Football Men's Football,Silver
Edvaldo Valério da Silva Filho,M,Salvador,Bahia,2000,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
"Silvia Andrea ""Silvinha"" Santos Luz",F,Araçatuba,São Paulo,1996,Atlanta,Basketball,Basketball Women's Basketball,Silver
"Silvia Andrea ""Silvinha"" Santos Luz",F,Araçatuba,São Paulo,2000,Sydney,Basketball,Basketball Women's Basketball,Bronze
"Silvio ""Silvinho"" Paiva",M,Franca,São Paulo,1984,Los Angeles,Football,Football Men's Football,Silver
José Edvar Simões,M,São José dos Campos,São Paulo,1964,Tokyo,Basketball,Basketball Men's Basketball,Bronze
Simone Gomes Jatobá,F,Maringá,Paraná,2008,Beijing,Football,Football Women's Football,Silver
Maicon de Andrade Siqueira,M,Justinópolis,Minas Gerais,2016,Rio de Janeiro,Taekwondo,Taekwondo Men's Heavyweight,Bronze
Marcos Pinto Rizzo Soares,M,Rio de Janeiro,Rio de Janeiro,1980,Moskva,Sailing,Sailing Mixed Two Person Dinghy,Gold
Rafael Augusto Sóbis do Nascimento,M,Erechim,Rio Grande do Sul,2008,Beijing,Football,Football Men's Football,Bronze
Marta de Souza Sobral,F,São Paulo,São Paulo,1996,Atlanta,Basketball,Basketball Women's Basketball,Silver
Marta de Souza Sobral,F,São Paulo,São Paulo,2000,Sydney,Basketball,Basketball Women's Basketball,Bronze
Fernando Soledade,M,Rio de Janeiro,Rio de Janeiro,1920,Antwerpen,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Bronze
Massinet Sorcinelli,M,São Paulo,São Paulo,1948,London,Basketball,Basketball Men's Basketball,Bronze
Cláudio Roberto Souza,M,Teresina,Piauí,2000,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Douglas Correia de Souza,M,Santa Bárbara d'Oeste,São Paulo,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
Maurício Luiz de Souza,M,Iturama,Minas Gerais,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
Antônio Salvador Sucar,M,Lules,Exterior,1960,Roma,Basketball,Basketball Men's Basketball,Bronze
Antônio Salvador Sucar,M,Lules,Exterior,1964,Tokyo,Basketball,Basketball Men's Basketball,Bronze
Isabel Marques Swan,F,Rio de Janeiro,Rio de Janeiro,2008,Beijing,Sailing,Sailing Women's Two Person Dinghy,Bronze
Cláudio André Mergen Taffarel,M,Santa Rosa,Rio Grande do Sul,1988,Seoul,Football,Football Men's Football,Silver
Talmo Curto de Oliveira,M,Itabira,Minas Gerais,1992,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
Tandara Caixeta,F,Brasília,Distrito Federal,2012,London,Volleyball,Volleyball Women's Volleyball,Gold
"Alexandre ""Tande"" Ramos Samuel",M,Resende,Rio de Janeiro,1992,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
"Tânia Maria ""Tânia Maranhão"" Pereira Ribeiro",F,São Luís,Maranhão,2004,Athina,Football,Football Women's Football,Silver
"Tânia Maria ""Tânia Maranhão"" Pereira Ribeiro",F,São Luís,Maranhão,2008,Beijing,Football,Football Women's Football,Silver
Thaísa Daher de Menezes,F,Rio de Janeiro,Rio de Janeiro,2008,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
Thaísa Daher de Menezes,F,Rio de Janeiro,Rio de Janeiro,2012,London,Volleyball,Volleyball Women's Volleyball,Gold
Thiago Maia Alencar,M,Boa Vista,Roraima,2016,Rio de Janeiro,Football,Football Men's Football,Gold
"Antônio José ""Tonho"" Gil",M,Criciúma,Santa Catarina,1984,Los Angeles,Football,Football Men's Football,Silver
Bruno Uvini Bortolança,M,Capivari,São Paulo,2012,London,Football,Football Men's Football,Silver
"Valeska ""Valeskinha"" dos Santos Menezes",F,Niterói,Rio de Janeiro,2008,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
Sandro Ricardo Rodrigues Viana,M,Manaus,Amazonas,2008,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Douglas Eduardo Vieira,M,Londrina,Paraná,1984,Los Angeles,Judo,Judo Men's Half-Heavyweight,Silver
Virna Cristine Dantes Dias,F,Natal,Rio Grande do Norte,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
Virna Cristine Dantes Dias,F,Natal,Rio Grande do Norte,2000,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
Walace Souza Silva,M,Salvador,Bahia,2016,Rio de Janeiro,Football,Football Men's Football,Gold
Walewska Moreira de Oliveira,F,Belo Horizonte,Minas Gerais,2000,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
Walewska Moreira de Oliveira,F,Belo Horizonte,Minas Gerais,2008,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
Wallace Leandro de Souza,M,Rio de Janeiro,Rio de Janeiro,2012,London,Volleyball,Volleyball Men's Volleyball,Silver
Wallace Leandro de Souza,M,Rio de Janeiro,Rio de Janeiro,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
Alexandre Welter,M,São Paulo,São Paulo,1980,Moskva,Sailing,Sailing Mixed Multihull,Gold
Weverton Pereira da Silva,M,Rio Branco,Acre,2016,Rio de Janeiro,Football,Football Men's Football,Gold
William Carvalho da Silva,M,São Paulo,São Paulo,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
William de Asevedo Furtado,M,Pelotas,Rio Grande do Sul,2016,Rio de Janeiro,Football,Football Men's Football,Gold
Luís Carlos Coelho Winck,M,Portão,Rio Grande do Sul,1984,Los Angeles,Football,Football Men's Football,Silver
Luís Carlos Coelho Winck,M,Portão,Rio Grande do Sul,1988,Seoul,Football,Football Men's Football,Silver
Sebastião Wolf,M,Gößweinstein,Exterior,1920,Antwerpen,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Bronze
Felipe Almeida Wu,M,São Paulo,São Paulo,2016,Rio de Janeiro,Shooting,"Shooting Men's Air Pistol, 10 metres",Silver
"Mário ""Xandó"" de Oliveira Neto",M,Poços de Caldas,Minas Gerais,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
"Ilisaine Karen ""Zaine"" David",F,Jundiaí,São Paulo,2000,Sydney,Basketball,Basketball Women's Basketball,Bronze
Arthur Nabarrete Zanetti,M,São Caetano do Sul,São Paulo,2012,London,Gymnastics,Gymnastics Men's Rings,Gold
Arthur Nabarrete Zanetti,M,São Caetano do Sul,São Paulo,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Silver
"José Elias ""Zé Elias"" Moedim Júnior",M,São Paulo,São Paulo,1996,Atlanta,Football,Football Men's Football,Bronze
"José Marcelo ""Zé Maria"" Ferreira",M,Oeiras,Piauí,1996,Atlanta,Football,Football Men's Football,Bronze
José Carlos Cracco Neto,M,Paranavaí,Paraná,2016,Rio de Janeiro,Football,Football Men's Football,Gold
Ítalo Ferreira,M,Baía Formosa,Rio Grande do Norte,2020,Tokyo,Surfing,Surfing Men's shortboard,Gold
Rebeca Andrade,F,Guarulhos,São Paulo,2020,Tokyo,Gymnastics,Gymnastics Women's vault,Gold
Martine Grael,F,Niterói,Rio de Janeiro,2020,Tokyo,Sailing,Sailing Women's Skiff,Gold
Kahena Kunze,F,São Paulo,São Paulo,2020,Tokyo,Sailing,Sailing Women's Skiff,Gold
Ana Marcela Cunha,F,Salvador,Bahia,2020,Tokyo,Swimming,Swimming Women's 10 kilometres Open Water,Gold
Isaquias Queiroz dos Santos,M,Ubaitaba,Bahia,2020,Tokyo,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
Hebert Conceição,M,Salvador,Bahia,2020,Tokyo,Boxing,Boxing Men's Middleweight,Gold
Aderbar Melo dos Santos Neto,M,Campina Grande,Paraíba,2020,Tokyo,Football,Football Men's Football,Gold
Gabriel Vinicius Menino,M,Morungaba,São Paulo,2020,Tokyo,Football,Football Men's Football,Gold
Diego Carlos Santos Silva,M,Barra Bonita,São Paulo,2020,Tokyo,Football,Football Men's Football,Gold
Douglas Luiz Soares de Paulo,M,Rio de Janeiro,Rio de Janeiro,2020,Tokyo,Football,Football Men's Football,Gold
Bruno Guimarães Rodriguez Moura,M,Rio de Janeiro,Rio de Janeiro,2020,Tokyo,Football,Football Men's Football,Gold
Guilherme Antonio Arana Lopes,M,São Paulo,São Paulo,2020,Tokyo,Football,Football Men's Football,Gold
Ricardo Queiroz de Alencastro Graça,M,Rio de Janeiro,Rio de Janeiro,2020,Tokyo,Football,Football Men's Football,Gold
Paulo Henrique Sampaio Filho,M,Rio de Janeiro,Rio de Janeiro,2020,Tokyo,Football,Football Men's Football,Gold
Matheus Santos Carneiro da Cunha,M,João Pessoa,Paraíba,2020,Tokyo,Football,Football Men's Football,Gold
Richarlison de Andrade,M,Nova Venécia,Espírito Santo,2020,Tokyo,Football,Football Men's Football,Gold
Antony Matheus dos Santos,M,Osasco,São Paulo,2020,Tokyo,Football,Football Men's Football,Gold
Brenno Oliveira Fraga Cost,M,Sorocaba,São Paulo,2020,Tokyo,Football,Football Men's Football,Gold
Daniel Alves da Silva,M,Juazeiro,Bahia,2020,Tokyo,Football,Football Men's Football,Gold
Bruno de Lara Fuchs,M,Ponta Grossa,Paraná,2020,Tokyo,Football,Football Men's Football,Gold
Marcilio Florencio Mota Filho,M,Recife,Pernambuco,2020,Tokyo,Football,Football Men's Football,Gold
Abner Vinícius da Silva Santos,M,Presidente Prudente,São Paulo,2020,Tokyo,Football,Football Men's Football,Gold
Malcom Filipe Silva de Oliveira,M,São Paulo,São Paulo,2020,Tokyo,Football,Football Men's Football,Gold
Matheus Henrique de Souza,M,São Paulo,São Paulo,2020,Tokyo,Football,Football Men's Football,Gold
Reinier Jesus Carvalho,M,Brasília,Distrito Federal,2020,Tokyo,Football,Football Men's Football,Gold
Cláudio "Claudinho" Luiz Rodrigues Parise Leonel,M,Guarulhos,São Paulo,2020,Tokyo,Football,Football Men's Football,Gold
Gabriel Teodoro Martinelli Silva,M,Guarulhos,São Paulo,2020,Tokyo,Football,Football Men's Football,Gold
Lucas Alexandre Galdino de Azevedo,M,Barra Mansa,Rio de Janeiro,2020,Tokyo,Football,Football Men's Football,Gold
Kelvin Hoefler,M,Guarujá,São Paulo,2020,Tokyo,Skateboarding,Skateboarding Men's street,Silver
Rayssa Leal,F,Imperatriz,Maranhão,2020,Tokyo,Skateboarding,Skateboarding Women's street,Silver
Rebeca Andrade,F,Guarulhos,São Paulo,2020,Tokyo,Gymnastics,Gymnastics Women's all-around,Silver
Pedro Barros,M,Florianópolis,Santa Catarina,2020,Tokyo,Skateboarding,Skateboarding Men's park,Silver
Beatriz Ferreira,F,Salvador,Bahia,2020,Tokyo,Boxing,Boxing Women's Lightweight,Silver
Carol Gattaz,F,São José do Rio Preto,São Paulo,2020,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver
Rosamaria Montibeller,F,Nova Trento,Santa Catarina,2020,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver
Macris Carneiro,F,Santo André,São Paulo,2020,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver
Roberta Ratzke,F,Curitiba,Paraná,2020,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver
Gabi Guimarães,F,Belo Horizonte,Minas Gerais,2020,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver
Natália Pereira,F,Ponta Grossa,Paraná,2020,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver
Ana Carolina,F,Belo Horizonte,Minas Gerais,2020,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver
Fernanda Garay,F,Porto Alegre,Rio Grande do Sul,2020,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver
Ana Cristina,F,Rio de Janeiro,Rio de Janeiro,2020,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver
Camila Brait,F,Frutal,Minas Gerais,2020,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver
Ana Beatriz,F,Sorocaba,São Paulo,2020,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver
Tandara Alves Caixeta,F,Brasília,Distrito Federal,2020,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver
Daniel Cargnin,M,Porto Alegre,Rio Grande do Sul,2020,Tokyo,Judo,Judo Men's Half-Lightweight,Bronze
Fernando Scheffer,M,Canoas,Rio Grande do Sul,2020,Tokyo,Swimming,Swimming Men's 200 metres Freestyle,Bronze
Mayra Aguiar,F,Porto Alegre,Rio Grande do Sul,2020,Tokyo,Judo,Judo Women's Half-Heavyweight,Bronze
Laura Pigossi,F,São Paulo,São Paulo,2020,Tokyo,Tennis,Tennis Women's doubles,Bronze
Luisa Stefani,F,São Paulo,São Paulo,2020,Tokyo,Tennis,Tennis Women's doubles,Bronze
Bruno Fratus,M,Macaé,Rio de Janeiro,2020,Tokyo,Swimming,Swimming Men's 50 metres Freestyle,Bronze
Alison dos Santos,M,São Joaquim da Barra,São Paulo,2020,Tokyo,Athletics,Athletics Men's 400 metres hurdles,Bronze
Abner Teixeira,M,Osasco,São Paulo,2020,Tokyo,Boxing,Boxing Men's Heavyweight,Bronze
Thiago Braz,M,Marília,São Paulo,2020,Tokyo,Athletics,Athletics Men's Pole Vault,Bronze